               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11858,            0.074521,                   0,           0.0048704,            0.057971,           0.0017243,          0.00022641,             0.12421,            0.044627,                   0,               3e-05,               3e-05,             0.09973
                   1,             0.11641,            0.081876,                   0,           0.0069639,              0.1087,           0.0026888,          0.00041405,             0.12099,            0.047314,                   0,          6.9993e-05,          6.9993e-05,             0.09937
                   2,             0.11461,            0.085959,                   0,            0.008653,             0.13768,           0.0035264,          0.00068243,             0.11701,             0.05053,                   0,          0.00010996,          0.00010996,             0.09901
                   3,             0.11134,            0.086009,                   0,             0.01465,             0.18841,           0.0065359,           0.0010759,              0.1119,            0.054416,                   0,          0.00014987,          0.00014987,             0.09865
                   4,             0.10754,            0.090435,                   0,            0.022814,             0.21014,            0.011045,           0.0022095,             0.10477,            0.059103,                   0,           0.0001897,           0.0001897,             0.09829
                   5,             0.10376,            0.097615,                   0,            0.027834,             0.26087,             0.01556,           0.0031709,            0.095341,             0.06422,                   0,          0.00022943,          0.00022943,            0.097929
                   6,            0.098869,                0.09,                   0,            0.034815,             0.36232,            0.021757,           0.0045424,            0.085053,            0.068843,                   0,          0.00026904,          0.00026904,            0.097569
                   7,            0.096634,             0.10558,                   0,            0.046165,             0.34783,            0.035087,           0.0064942,            0.079448,            0.070418,                   0,           0.0003085,           0.0003085,            0.097209
                   8,            0.095278,             0.11595,                   0,            0.055855,             0.51449,            0.059391,            0.012786,            0.077658,            0.069628,                   0,          0.00034779,          0.00034779,            0.096848
                   9,             0.09385,             0.10941,                   0,             0.13364,             0.18841,             0.12045,            0.027652,            0.076295,            0.068422,                   0,          0.00038689,          0.00038689,            0.096487
